,date,unrate,unrate_men,unrate_women,unrate_16_to_17,unrate_18_to_19,unrate_20_to_24,unrate_25_to_34,unrate_35_to_44,unrate_45_to_54,unrate_55_over
0,1/1/1996,6.3,6.5,6.0,21.2,17.1,11.1,6.2,4.8,4.1,4.0
1,2/1/1996,6.0,6.4,5.5,20.6,15.8,10.6,6.0,4.5,3.7,3.8
2,3/1/1996,5.8,6.3,5.3,20.5,15.5,9.8,5.7,4.5,3.6,3.9
3,4/1/1996,5.4,5.6,5.1,20.4,14.9,8.6,5.2,4.2,3.6,3.2
4,5/1/1996,5.4,5.4,5.4,20.8,15.3,9.8,5.1,3.7,3.4,3.5
5,6/1/1996,5.5,5.3,5.7,23.3,14.9,9.3,4.9,3.7,3.3,3.4
6,7/1/1996,5.6,5.4,5.9,20.0,14.1,9.7,5.3,4.1,3.1,3.9
7,8/1/1996,5.1,4.6,5.7,15.9,13.1,8.4,4.8,4.1,3.1,3.4
8,9/1/1996,5.0,4.7,5.3,15.0,15.2,9.0,4.8,3.9,3.0,3.1
9,10/1/1996,4.9,4.6,5.2,16.3,15.6,8.2,4.6,3.8,3.0,2.9
10,11/1/1996,5.0,4.9,5.2,15.7,17.0,8.6,4.8,4.1,3.1,2.9
11,12/1/1996,5.0,4.9,5.0,16.7,14.2,8.1,4.8,4.0,3.3,3.0
12,1/1/1997,5.9,6.2,5.6,18.5,17.5,10.5,5.6,4.9,3.8,3.4
13,2/1/1997,5.7,5.9,5.5,20.5,16.5,9.5,5.7,4.6,3.5,3.2
14,3/1/1997,5.5,5.7,5.2,20.5,14.4,9.3,5.3,4.4,3.3,3.5
15,4/1/1997,4.8,5.0,4.6,19.9,12.8,8.4,4.7,3.8,3.0,2.8
16,5/1/1997,4.7,4.4,5.1,19.8,14.4,8.4,4.4,3.4,2.8,2.9
17,6/1/1997,5.2,5.0,5.4,22.0,16.8,8.5,4.6,3.5,3.0,3.0
18,7/1/1997,5.0,4.7,5.4,18.5,15.1,7.9,4.8,3.5,3.0,3.2
19,8/1/1997,4.8,4.4,5.3,14.7,13.2,8.0,4.7,3.7,2.8,3.3
20,9/1/1997,4.7,4.3,5.1,16.8,15.1,8.2,4.5,3.5,2.9,3.0
21,10/1/1997,4.4,4.3,4.5,15.4,14.3,7.9,4.1,3.4,2.6,2.6
22,11/1/1997,4.3,4.2,4.4,16.3,13.4,7.9,4.0,3.2,2.6,2.7
23,12/1/1997,4.4,4.5,4.2,15.2,10.6,7.7,4.0,3.7,2.9,2.5
24,1/1/1998,5.2,5.3,5.0,18.0,12.7,10.0,4.8,4.3,3.3,3.0
25,2/1/1998,5.0,5.1,4.8,19.4,12.4,9.2,4.8,3.7,3.4,2.8
26,3/1/1998,5.0,5.2,4.8,18.1,13.2,8.5,5.0,3.8,3.1,3.1
27,4/1/1998,4.1,4.1,4.2,16.4,10.6,7.1,3.9,3.3,2.8,2.5
28,5/1/1998,4.2,4.1,4.4,17.2,13.6,7.7,3.9,3.1,2.3,2.4
29,6/1/1998,4.7,4.4,5.0,22.5,13.5,8.2,4.2,3.2,2.6,2.5
30,7/1/1998,4.7,4.5,4.9,16.5,13.0,8.3,4.4,3.2,2.9,3.0
31,8/1/1998,4.5,4.0,5.0,14.1,12.0,8.4,4.2,3.3,2.7,2.8
32,9/1/1998,4.4,4.2,4.6,15.3,14.5,8.3,4.3,3.0,2.5,2.6
33,10/1/1998,4.2,4.0,4.5,16.8,14.4,6.7,4.4,3.0,2.4,2.4
34,11/1/1998,4.1,3.9,4.4,16.8,13.2,6.3,3.9,3.1,2.5,2.9
35,12/1/1998,4.0,4.2,3.8,14.5,10.9,6.5,3.9,3.2,2.6,2.7
36,1/1/1999,4.8,4.9,4.6,19.3,14.2,7.9,4.6,3.5,3.1,3.2
37,2/1/1999,4.7,4.9,4.5,16.4,13.6,8.5,4.7,3.5,3.1,3.0
38,3/1/1999,4.4,4.4,4.5,17.8,12.5,7.7,4.3,3.1,2.7,3.1
39,4/1/1999,4.1,4.0,4.2,17.6,10.8,7.0,3.9,3.1,2.6,2.7
40,5/1/1999,4.0,3.9,4.0,16.6,11.1,7.5,3.6,3.0,2.2,2.5
41,6/1/1999,4.5,4.2,4.8,21.1,12.8,7.8,3.9,3.1,2.3,3.0
42,7/1/1999,4.5,4.1,4.9,15.5,11.7,7.9,4.2,3.0,2.6,3.2
43,8/1/1999,4.2,3.8,4.6,12.9,10.8,7.4,3.9,3.3,2.5,2.8
44,9/1/1999,4.1,3.8,4.4,13.9,15.1,7.3,3.8,3.0,2.4,2.5
45,10/1/1999,3.8,3.8,4.0,14.4,13.0,7.1,3.7,2.7,2.3,2.4
46,11/1/1999,3.8,3.7,4.0,15.8,12.5,7.0,3.6,2.6,2.4,2.5
47,12/1/1999,3.7,3.9,3.5,14.3,10.7,6.7,3.4,2.7,2.6,2.4
48,1/1/2000,4.5,4.6,4.3,15.0,12.5,8.2,4.1,3.4,3.1,3.0
49,2/1/2000,4.4,4.7,4.2,16.6,13.2,8.3,4.0,3.4,2.7,3.1
50,3/1/2000,4.3,4.3,4.3,16.2,12.0,7.9,4.0,3.5,2.3,3.0
51,4/1/2000,3.7,3.7,3.7,15.5,9.7,6.7,3.4,3.0,2.1,2.2
52,5/1/2000,3.8,3.6,4.1,16.4,10.3,8.1,3.6,2.8,2.1,2.2
53,6/1/2000,4.1,3.9,4.5,18.3,11.8,7.7,3.5,3.0,2.4,2.2
54,7/1/2000,4.2,3.8,4.6,16.2,11.5,7.1,3.9,3.0,2.5,2.6
55,8/1/2000,4.1,3.6,4.6,13.8,11.5,6.5,3.8,3.2,2.7,2.7
56,9/1/2000,3.8,3.5,4.1,13.6,12.3,6.4,3.5,2.8,2.4,2.6
57,10/1/2000,3.6,3.5,3.7,13.3,11.8,6.3,3.4,2.6,2.3,2.5
