State,Urate,Pop. 2021,Change 2020-21
Alabama,3.4,"5,039,877",-0.10%
Alaska,6.4,"732,673",1.70%
Arizona,4.9,"7,276,316",0.50%
Arkansas,4,"3,025,891",-0.80%
California,7.3,"39,237,836",0.70%
Colorado,5.4,"5,812,069",0.00%
Connecticut,6.3,"3,605,597",1.40%
Delaware,5.3,"1,003,384",-2.80%
District of Columbia,6.6,"670,050",1.10%
Florida,4.6,"21,781,128",0.80%
Georgia,3.9,"10,799,566",-0.90%
Hawaii,5.7,"1,441,553",3.40%
Idaho,3.6,"1,900,923",-1.10%
Illinois,6.1,"12,671,469",0.30%
Indiana,3.6,"6,805,985",0.10%
Iowa,4.2,"3,193,079",-0.10%
Kansas,3.2,"2,934,582",0.10%
Kentucky,4.7,"4,509,394",-0.70%
Louisiana,5.5,"4,624,047",0.70%
Maine,4.6,"1,372,247",-0.20%
Maryland,5.8,"6,165,129",-0.60%
Massachusetts,5.7,"6,984,723",-0.30%
Michigan,5.9,"10,050,811",0.00%
Minnesota,3.4,"5,707,390",-0.40%
Mississippi,5.6,"2,949,965",0.20%
Missouri,4.4,"6,168,187",1.80%
Montana,3.4,"1,104,271",0.10%
Nebraska,2.5,"1,963,692",1.30%
Nevada,7.2,"3,143,991",0.80%
New Hampshire,3.5,"1,388,992",-0.20%
New Jersey,6.3,"9,267,130",-0.10%
New Mexico,6.8,"2,115,877",-1.80%
New York,6.9,"19,835,913",1.10%
North Carolina,4.8,"10,551,162",-0.50%
North Dakota,3.7,"774,948",-0.20%
Ohio,5.1,"11,780,017",0.70%
Oklahoma,3.8,"3,986,639",0.20%
Oregon,5.2,"4,246,155",-0.30%
Pennsylvania,6.3,"12,964,056",-0.20%
Rhode Island,5.6,"1,095,610",1.40%
South Carolina,4,"5,190,705",1.00%
South Dakota,3.1,"895,376",0.90%
Tennessee,4.3,"6,975,218",1.30%
Texas,5.7,"29,527,941",2.00%
Utah,2.7,"3,337,975",0.40%
Vermont,3.4,"645,570",0.10%
Virginia,3.9,"8,642,274",0.40%
Washington,5.2,"7,738,692",-0.60%
West Virginia,5,"1,782,959",0.00%
Wisconsin,3.8,"5,895,908",0.30%
Wyoming,4.5,"578,803",-0.70%
