State,Population,ViolentCrime,PropertyCrime
ALABAMA,1306008,10304,49516
ALASKA ,105121,625,1296
ARIZONA,2670014,7137,45939
ARKANSAS,1824677,15643,59644
CALIFORNIA,2376930,8910,42000
COLORADO,4192772,23638,156015
CONNECTICUT,3062369,5530,51896
DELAWARE,272792,2117,7945
GEORGIA,3195836,16571,79809
HAWAII,985138,2234,27090
IDAHO,961695,2700,12540
ILLINOIS,2022242,7403,30769
INDIANA,3163832,14074,75140
IOWA,1919259,7025,39793
KANSAS,1255613,3951,25465
KENTUCKY,2434290,9954,58800
LOUISIANA,945374,8949,34504
MAINE,840726,1094,11897
MARYLAND1,131342,513,2223
MASSACHUSETTS,6906177,20542,67813
MICHIGAN,6530010,39589,105838
MINNESOTA,4022716,15103,101275
MISSISSIPPI,816957,2514,22441
MISSOURI,3359770,22902,105767
MONTANA,482829,3095,14908
NEBRASKA,800345,2365,15659
NEVADA,2727266,11859,64320
NEW HAMPSHIRE,1178794,1536,11958
NEW JERSEY,1650076,3239,18596
NEW MEXICO,675644,8603,26868
NEW YORK,2069040,6599,36343
NORTH CAROLINA,5497211,32613,155461
NORTH DAKOTA,521155,1654,13889
OHIO,6547610,29249,144022
OKLAHOMA,2824310,14123,82464
OREGON,2692409,10629,88838
PENNSYLVANIA,330385,458,3037
RHODE ISLAND,1087769,2098,13047
SOUTH CAROLINA,1580851,9650,52993
SOUTH DAKOTA,465308,2070,10802
TENNESSEE,3906086,37748,123349
TEXAS,20783195,106643,517123
UTAH,2201466,6201,49809
VERMONT,345646,807,6691
VIRGINIA,3036986,10779,63967
WASHINGTON,4795404,20020,185016
WEST VIRGINIA,375613,1762,9461
WISCONSIN,3535764,15625,72508
WYOMING,252909,607,5206
