State,Population,ViolentCrime,PropertyCrime
Alaska,453704,4742,13776
Arizona,5031548,25266,123412
Arkansas,1737760,14823,59458
California,32959442,143513,729147
Colorado,3869491,20290,134136
Connecticut,2939808,5916,51568
Delaware,268021,2083,8214
Florida,10342539,46812,231575
Georgia,2208681,10230,53683
Idaho,966222,2763,14330
Illinois,144795,2101,4104
Indiana,2834068,15946,70502
Iowa,1824744,7423,42819
Kansas,1037888,2869,19625
Kentucky,1694576,3532,40363
Louisiana,1659429,16182,71664
Maine,848577,1049,12070
Maryland,88549,124,1082
Massachusetts,6693618,20777,70255
Michigan,6467155,37707,102558
Minnesota,3739526,12959,96828
Mississippi,607006,1683,18374
Missouri,3319858,25509,115897
Montana,486775,2520,15678
Nebraska,337900,893,6014
Nevada,2705572,12991,54729
New Hampshire,1245406,1728,13005
New Jersey,8632227,16691,99824
New Mexico,668887,8474,30993
New York,4744681,13930,78061
North Carolina,4982617,29543,147049
North Dakota,515590,1630,13324
Ohio,5039282,17708,103024
Oklahoma,2934976,15580,91327
Oregon,2622899,9000,85300
Pennsylvania,16955,580,2032
Rhode Island,1035011,2315,12804
South Carolina,1524904,10032,56190
South Dakota,527766,2669,13868
Tennessee,3923758,37487,136360
Texas,20080926,105342,522229
Utah,2152511,5893,55233
Vermont,346507,709,6021
Virginia,3022350,9942,63536
Washington,4857949,17563,169000
West Virginia,387305,2014,10837
Wisconsin,3795725,16238,70935
Wyoming,316871,803,6936
