Alabama: 3.8%
Alaska: 6.5%
Arizona: 5.1%
Arkansas: 4.2%
California: 7.5%
Colorado: 4.1%
Connecticut: 6.2%
Delaware: 4.4%
Florida: 4.9%
Georgia: 4.1%
Hawaii: 6.6%
Idaho: 3.6%
Illinois: 6.6%
Indiana: 4.1%
Iowa: 3.6%
Kansas: 3.9%
Kentucky: 4.4%
Louisiana: 7.4%
Maine: 4.8%
Maryland: 5.0%
Massachusetts: 5.1%
Michigan: 6.0%
Minnesota: 3.7%
Mississippi: 5.5%
Missouri: 4.1%
Montana: 3.5%
Nebraska: 2.7%
Nevada: 7.1%
New Hampshire: 3.3%
New Jersey: 6.3%
New Mexico: 6.3%
New York: 6.2%
North Carolina: 4.1%
North Dakota: 2.4%
Ohio: 4.4%
Oklahoma: 4.0%
Oregon: 5.0%
Pennsylvania: 5.0%
Rhode Island: 6.1%
South Carolina: 4.1%
South Dakota: 2.9%
Tennessee: 4.2%
Texas: 5.2%
Utah: 2.8%
Vermont: 3.3%
Virginia: 4.3%
Washington: 5.2%
West Virginia: 5.6%
Wisconsin: 3.8%
Wyoming: 4.2%
