Master Subject ID,Primary Key,Occurred Date,Location,Subject Sex,Subject Race,Subject Race Ethnicity,X Coordinate,Y Coordinate,Council District,County Code,Zip Code,Census Tract,County Description
: 20201860559,20201860559,07/04/2020 12:00:00 AM,-,-,-,-,-,-,-,-,-,-,Other
: 20201861162,20201861162,07/04/2020 12:00:00 AM,715 E 8TH ST,-,-,-,3116884,10070627,9,1,78701,11,TRAVIS COUNTY
: 20202981441,20202981441,10/24/2020 12:00:00 AM,3600 PRESIDENTIAL BLVD,-,-,-,3138851,10047302,2,1,78719,9800,TRAVIS COUNTY
: 20203521007,20203521007,12/17/2020 12:00:00 AM,AIRPORT BLVD / E MARTIN LUTHER KING JR BLVD,-,-,-,3126452,10076315,1,1,78723,21,TRAVIS COUNTY
262463: 20201590729,20201590729,06/07/2020 12:00:00 AM,4404 E OLTORF ST,M,W,White,3119889,10055969,3,1,78741,23.14,TRAVIS COUNTY
395524: 20202030589,20202030589,07/21/2020 12:00:00 AM,600 GROVE BLVD,M,W,Hispanic,3127849,10060397,3,1,78741,23.27,TRAVIS COUNTY
459426: 20203441366,20203441366,12/09/2020 12:00:00 AM,900 ACORN OAKS DR,M,W,Hispanic,3098779,10043623,2,1,78745,24.24,TRAVIS COUNTY
459669: 2020951105,2020951105,04/04/2020 12:00:00 AM,3809 BYRON DR,F,W,White,3100989,10058492,5,1,78704,20,TRAVIS COUNTY
1250371: 202010442,202010442,01/01/2020 12:00:00 AM,309 E 6TH ST,-,-,-,3115174,10070417,9,1,78701,11,TRAVIS COUNTY
1251947: 202090198,202090198,01/09/2020 12:00:00 AM,WAGON TRL / N LAMAR BLVD,-,-,-,3130364,10110904,4,1,78758,409,TRAVIS COUNTY
1257978: 2020460412,2020460412,02/15/2020 12:00:00 AM,9516 N LAMAR BLVD,-,-,-,3128173,10106462,4,1,78758,409,TRAVIS COUNTY
1259509: 2020450151,2020450151,02/14/2020 12:00:00 AM,701 TRINITY ST,-,-,-,3115610,10070839,9,1,78701,11,TRAVIS COUNTY
1259617: 2020470165,2020470165,02/16/2020 12:00:00 AM,E 6TH ST / NECHES ST,-,-,-,3115762,10070320,9,1,78701,11,TRAVIS COUNTY
1260164: 2020570826,2020570826,02/26/2020 12:00:00 AM,5203 CAMERON RD,-,-,-,3124815,10086285,4,1,78723,21,TRAVIS COUNTY
1262175: 2020680220,2020680220,03/08/2020 12:00:00 AM,708 E 6TH ST,-,-,-,3116608,10070123,9,1,78701,11,TRAVIS COUNTY
1262272: 2020671670,2020671670,03/07/2020 12:00:00 AM,310 W 2ND ST,-,-,-,3112984,10069766,9,1,78701,11,TRAVIS COUNTY
1262983: 2020680229,2020680229,03/08/2020 12:00:00 AM,E 6TH ST / NECHES ST,-,-,-,3115762,10070320,9,1,78701,11,TRAVIS COUNTY
1269760: 20201170551,20201170551,04/26/2020 12:00:00 AM,700 BLOCK VARGAS RD,-,-,-,3130350,10059302,3,1,78741,23.21,TRAVIS COUNTY
1270444: 20201190877,20201190877,04/28/2020 12:00:00 AM,1030 NORWOOD PARK BLVD,-,-,-,3129997,10096983,4,1,78753,403,TRAVIS COUNTY
1271087: 20201220793,20201220793,05/01/2020 12:00:00 AM,W 4TH ST / COLORADO ST,-,-,-,3113692,10070194,9,1,78701,11,TRAVIS COUNTY
1272001: 20201281605,20201281605,05/07/2020 12:00:00 AM,823 CONGRESS AVE,-,-,-,3114720,10071679,9,1,78701,11,TRAVIS COUNTY
1273026: 20201371337,20201371337,05/16/2020 12:00:00 AM,S IH 35 SVRD NB / E STASSNEY LN,-,-,-,3108318,10045196,2,1,78744,24.19,TRAVIS COUNTY
1275756: 20201530071,20201530071,06/01/2020 12:00:00 AM,1900 E 7TH ST,-,-,-,3120928,10068995,1,1,78702,9,TRAVIS COUNTY
1275757: 20201530071,20201530071,06/01/2020 12:00:00 AM,1900 E 7TH ST,-,-,-,3120928,10068995,1,1,78702,9,TRAVIS COUNTY
1276684: 20201590166,20201590166,06/07/2020 12:00:00 AM,411 E 6TH ST,-,-,-,3115554,10070290,9,1,78701,11,TRAVIS COUNTY
1276875: 20201601196,20201601196,06/08/2020 12:00:00 AM,2601 S PLEASANT VALLEY RD,-,-,-,3118987,10054971,3,1,78741,23.13,TRAVIS COUNTY
1277811: 20201510145,20201510145,05/30/2020 12:00:00 AM,401 E 6TH ST,-,-,-,3115440,10070324,9,1,78701,11,TRAVIS COUNTY
1279450: 20201710248,20201710248,06/21/2020 12:00:00 AM,-,-,-,-,-,-,-,-,-,-,Other
1280056: 20201771501,20201771501,06/25/2020 12:00:00 AM,715 E 8TH ST,-,-,-,3116884,10070627,9,1,78701,11,TRAVIS COUNTY
1280587: 20201791187,20201791187,06/27/2020 12:00:00 AM,800 BLOCK E 8TH ST,-,-,-,3117445,10070584,1,1,78702,9,TRAVIS COUNTY
1280756: 20201791197,20201791197,06/27/2020 12:00:00 AM,715 E 8TH ST,-,-,-,3116884,10070627,9,1,78701,11,TRAVIS COUNTY
1280757: 20201791197,20201791197,06/27/2020 12:00:00 AM,715 E 8TH ST,-,-,-,3116884,10070627,9,1,78701,11,TRAVIS COUNTY
1280863: 20201710936,20201710936,06/19/2020 12:00:00 AM,715 E 8TH ST,-,-,-,3116884,10070627,9,1,78701,11,TRAVIS COUNTY
1280864: 20201710936,20201710936,06/19/2020 12:00:00 AM,715 E 8TH ST,-,-,-,3116884,10070627,9,1,78701,11,TRAVIS COUNTY
1280939: 20201821378,20201821378,06/30/2020 12:00:00 AM,6306 E RIVERSIDE DR,-,-,-,3127258,10055405,3,1,78741,23.21,TRAVIS COUNTY
1280940: 20201821378,20201821378,06/30/2020 12:00:00 AM,6306 E RIVERSIDE DR,-,-,-,3127258,10055405,3,1,78741,23.21,TRAVIS COUNTY
1280941: 20201821378,20201821378,06/30/2020 12:00:00 AM,6306 E RIVERSIDE DR,-,-,-,3127258,10055405,3,1,78741,23.21,TRAVIS COUNTY
1280996: 20201791203,20201791203,06/27/2020 12:00:00 AM,715 E 8TH ST,-,-,-,3116884,10070627,9,1,78701,11,TRAVIS COUNTY
1280997: 20201791203,20201791203,06/27/2020 12:00:00 AM,715 E 8TH ST,-,-,-,3116884,10070627,9,1,78701,11,TRAVIS COUNTY
1280998: 20201710936,20201710936,06/19/2020 12:00:00 AM,715 E 8TH ST,-,-,-,3116884,10070627,9,1,78701,11,TRAVIS COUNTY
1281423: 20201861200,20201861200,07/04/2020 12:00:00 AM,714 E 8TH ST,-,-,-,3116959,10070809,9,1,78701,11,TRAVIS COUNTY
1281940: 20201791203,20201791203,06/27/2020 12:00:00 AM,715 E 8TH ST,-,-,-,3116884,10070627,9,1,78701,11,TRAVIS COUNTY
1282325: 20201861258,20201861258,07/04/2020 12:00:00 AM,700 E 8TH ST,-,-,-,3116658,10070827,9,1,78701,11,TRAVIS COUNTY
1282329: 20201821378,20201821378,06/30/2020 12:00:00 AM,6306 E RIVERSIDE DR,-,-,-,3127258,10055405,3,1,78741,23.21,TRAVIS COUNTY
1282342: 20201861200,20201861200,07/04/2020 12:00:00 AM,714 E 8TH ST,-,-,-,3116959,10070809,9,1,78701,11,TRAVIS COUNTY
1282545: 20201920253,20201920253,07/10/2020 12:00:00 AM,715 E 8TH ST,-,-,-,3116884,10070627,9,1,78701,11,TRAVIS COUNTY
1282546: 20201920253,20201920253,07/10/2020 12:00:00 AM,715 E 8TH ST,-,-,-,3116884,10070627,9,1,78701,11,TRAVIS COUNTY
1282547: 20201920253,20201920253,07/10/2020 12:00:00 AM,715 E 8TH ST,-,-,-,3116884,10070627,9,1,78701,11,TRAVIS COUNTY
1282809: 20201790326,20201790326,06/27/2020 12:00:00 AM,715 E 8TH ST,-,-,-,3116884,10070627,9,1,78701,11,TRAVIS COUNTY
1283290: 20201991563,20201991563,07/17/2020 12:00:00 AM,715 E 8TH ST,-,-,-,3116884,10070627,9,1,78701,11,TRAVIS COUNTY
