Unique ID,Primary Key,Occurred Date,Occurred Time,Location,GO Sector Name,Nature of Contact,Reason Desc,R2R Level,Master Subject ID,Highest Subject Resistance by R2R,Weapon Used 1,Weapon Used 2,Weapon Used 3,Weapon Used 4,Weapon Used 5,Number of Shots,Highest Subject Injury by R2R,Effects Officer Desc,Officer Commission Date,Officer Years of Experience Ranges,Officer Yrs of Service,Officer Organization Desc,X Coordinate,Y Coordinate,Council District,County Code,Zip Code,Census Tract,County Description,Highest R2R Level,Used Firearm(s),Used Impact Weapon(s),Used Taser(s),Used Canine(s),Used Chemical Agent(s),Used PIT(s),Used Weaponless
20201860559AP3266,20201860559,07/04/2020 12:00:00 AM,1538,-,-,3-TACTICAL OPERATION [non-MV Stop],NECESSARY TO DEFEND ANOTHER,3,: 20201860559,2 - Aggressive Resistance,CHEMICAL AGENT - O C SPRAY,-,-,-,-,-,5 - Complaint Of Injury/Pain But None Observed,-,12/20/1996 12:00:00 AM,21+,24,DET TEAM 1 PROP REG IV SUPRT; DET TEAM 2 PERSONS REG IV SUPRT,-,-,-,-,-,-,Other,Level 3,0,0,0,0,1,0,0
20201860559AP4622,20201860559,07/04/2020 12:00:00 AM,1600,-,-,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,: 20201860559,3 - Defensive Resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),-,-,-,-,-,6 - No Complaint Of Injury/Pain,NO COMPLAINT OF INJURY/PAIN,02/08/2002 12:00:00 AM,16 - 20,18,DET TEAM 1 PERSON CRIMES REG I SUPRT,-,-,-,-,-,-,Other,Level 4,0,0,0,0,0,0,1
20201861162AP6623,20201861162,07/04/2020 12:00:00 AM,-,715 E 8TH ST,George,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO DEFEND ANOTHER,3,: 20201861162,4 - Preparatory Resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),-,-,-,-,-,6 - No Complaint Of Injury/Pain,NO COMPLAINT OF INJURY/PAIN,09/03/1994 12:00:00 AM,21+,26,ROBBERY UNIT,3116884,10070627,9,1,78701,11,TRAVIS COUNTY,Level 3,0,0,0,0,0,0,1
20202981441AP5352,20202981441,10/24/2020 12:00:00 AM,0034,3600 PRESIDENTIAL BLVD,Airport,4-DISPATCHED CALL [non MV Stop],TO RESTRAIN FOR SUBJECTS SAFETY,4,: 20202981441,5 - Passive Resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),-,-,-,-,-,6 - No Complaint Of Injury/Pain,NO COMPLAINT OF INJURY/PAIN,07/08/2005 12:00:00 AM,16 - 20,15,AIRPORT 600 REG II PATROL,3138851,10047302,2,1,78719,9800,TRAVIS COUNTY,Level 4,0,0,0,0,0,0,1
20203521007AP8237,20203521007,12/17/2020 12:00:00 AM,2111,AIRPORT BLVD / E MARTIN LUTHER KING JR BLVD,Charlie,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",3,: 20203521007,3 - Defensive Resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),-,-,-,-,-,3 - Minor Injury,NO COMPLAINT OF INJURY/PAIN,10/28/2016 12:00:00 AM,1 - 5,4,CHARLIE 400 REG III PATROL,3126452,10076315,1,1,78723,21,TRAVIS COUNTY,Level 3,0,0,0,0,0,0,1
20203521007AP9165,20203521007,12/17/2020 12:00:00 AM,1635,AIRPORT BLVD / E MARTIN LUTHER KING JR BLVD,Charlie,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",4,: 20203521007,3 - Defensive Resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),-,-,-,-,-,6 - No Complaint Of Injury/Pain,NO COMPLAINT OF INJURY/PAIN,01/27/2020 12:00:00 AM,1 - 5,1,CHARLIE 700 REG III PATROL,3126452,10076315,1,1,78723,21,TRAVIS COUNTY,Level 4,0,0,0,0,0,0,1
2020104421250371AP7756,202010442,01/01/2020 12:00:00 AM,0156,309 E 6TH ST,George,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO DEFEND ANOTHER,3,1250371: 202010442,2 - Aggressive Resistance,CHEMICAL AGENT - O C SPRAY,-,-,-,-,-,6 - No Complaint Of Injury/Pain,NO COMPLAINT OF INJURY/PAIN,12/12/2014 12:00:00 AM,1 - 5,5,GEORGE 600 REG I EVENING,3115174,10070417,9,1,78701,11,TRAVIS COUNTY,Level 3,0,0,0,0,1,0,0
2020313153934801AP7770,202031315,01/03/2020 12:00:00 AM,1800,300 CHALMERS AVE,Charlie,1-TRAFFIC STOP [Motor Vehicle Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,3934801: 202031315,3 - Defensive Resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),-,-,-,-,-,6 - No Complaint Of Injury/Pain,NO COMPLAINT OF INJURY/PAIN,12/12/2014 12:00:00 AM,1 - 5,5,CHARLIE 300 REG III PATROL,3119736,10067920,3,1,78702,9,TRAVIS COUNTY,Level 3,0,0,0,0,0,0,1
2020313153934801AP8248,202031315,01/03/2020 12:00:00 AM,1800,300 CHALMERS AVE,Charlie,1-TRAFFIC STOP [Motor Vehicle Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,3934801: 202031315,3 - Defensive Resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),-,-,-,-,-,6 - No Complaint Of Injury/Pain,NO COMPLAINT OF INJURY/PAIN,10/28/2016 12:00:00 AM,1 - 5,3,CHARLIE 300 REG III PATROL,3119736,10067920,3,1,78702,9,TRAVIS COUNTY,Level 3,0,0,0,0,0,0,1
2020501985054721AP6781,202050198,01/05/2020 12:00:00 AM,0200,406 E 6TH ST,George,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,5054721: 202050198,3 - Defensive Resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),-,-,-,-,-,6 - No Complaint Of Injury/Pain,NO COMPLAINT OF INJURY/PAIN,04/23/2010 12:00:00 AM,6 - 10,10,GEORGE 900 REG I NIGHTS,3115566,10070504,9,1,78701,11,TRAVIS COUNTY,Level 4,0,0,0,0,0,0,1
2020501985054721AP8126,202050198,01/05/2020 12:00:00 AM,0202,406 E 6TH ST,George,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,5054721: 202050198,3 - Defensive Resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),-,-,-,-,-,6 - No Complaint Of Injury/Pain,NO COMPLAINT OF INJURY/PAIN,07/08/2016 12:00:00 AM,1 - 5,3,GEORGE 900 REG I NIGHTS,3115566,10070504,9,1,78701,11,TRAVIS COUNTY,Level 4,0,0,0,0,0,0,1
2020714885007314AP8195,202071488,01/07/2020 12:00:00 AM,1942,BERKMAN DR / BARBARA JORDAN BLVD,Baker,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,5007314: 202071488,3 - Defensive Resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),-,-,-,-,-,6 - No Complaint Of Injury/Pain,NO COMPLAINT OF INJURY/PAIN,10/28/2016 12:00:00 AM,1 - 5,3,BAKER 500 REG I PATROL,3127571,10083515,9,1,78723,3,TRAVIS COUNTY,Level 4,0,0,0,0,0,0,1
2020714885007314AP8356,202071488,01/07/2020 12:00:00 AM,1942,BERKMAN DR / BARBARA JORDAN BLVD,Baker,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,5007314: 202071488,3 - Defensive Resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),-,-,-,-,-,6 - No Complaint Of Injury/Pain,NO COMPLAINT OF INJURY/PAIN,06/23/2017 12:00:00 AM,1 - 5,3,BAKER 500 REG I PATROL,3127571,10083515,9,1,78723,3,TRAVIS COUNTY,Level 4,0,0,0,0,0,0,1
2020901981251947AP8798,202090198,01/09/2020 12:00:00 AM,-,WAGON TRL / N LAMAR BLVD,Edward,6-SELF-INITIATED SUBJECT STOP [non-MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,1251947: 202090198,3 - Defensive Resistance,CED - PRONGS-ENTER # CYCLES (use #shots field),-,-,-,-,6,6 - No Complaint Of Injury/Pain,NO COMPLAINT OF INJURY/PAIN,09/01/2018 12:00:00 AM,1 - 5,1,EDWARD 800 REG II PATROL,3130364,10110904,4,1,78758,409,TRAVIS COUNTY,Level 3,0,0,1,0,0,0,0
2020951105459669AP8072,2020951105,04/04/2020 12:00:00 AM,2146,3809 BYRON DR,David,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459669: 2020951105,3 - Defensive Resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),-,-,-,-,-,6 - No Complaint Of Injury/Pain,NO COMPLAINT OF INJURY/PAIN,11/13/2015 12:00:00 AM,1 - 5,4,DAVID 600 EVENINGS REG IV PATROL,3100989,10058492,5,1,78704,20,TRAVIS COUNTY,Level 4,0,0,0,0,0,0,1
2020951105459669AP9058,2020951105,04/04/2020 12:00:00 AM,2144,3809 BYRON DR,David,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459669: 2020951105,3 - Defensive Resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),-,-,-,-,-,6 - No Complaint Of Injury/Pain,NO COMPLAINT OF INJURY/PAIN,01/27/2020 12:00:00 AM,<1,0,ACADEMY CADET TRAINING REG II,3100989,10058492,5,1,78704,20,TRAVIS COUNTY,Level 4,0,0,0,0,0,0,1
2020951105459669AP9120,2020951105,04/04/2020 12:00:00 AM,-,3809 BYRON DR,David,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459669: 2020951105,3 - Defensive Resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),-,-,-,-,-,6 - No Complaint Of Injury/Pain,NO COMPLAINT OF INJURY/PAIN,01/27/2020 12:00:00 AM,<1,0,ACADEMY CADET TRAINING REG II,3100989,10058492,5,1,78704,20,TRAVIS COUNTY,Level 4,0,0,0,0,0,0,1
20201305123473732AP7540,2020130512,01/13/2020 12:00:00 AM,-,5345 N IH 35 SVRD NB,Ida,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,3473732: 2020130512,5 - Passive Resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),-,-,-,-,-,5 - Complaint Of Injury/Pain But None Observed,NO COMPLAINT OF INJURY/PAIN,12/13/2013 12:00:00 AM,6 - 10,6,IDA 200 REG I PATROL,3125095,10087249,4,1,78723,21,TRAVIS COUNTY,Level 3,0,0,0,0,0,0,1
20201501133932963AP7097,2020150113,01/15/2020 12:00:00 AM,0258,7200 EASY WIND DR,Ida,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,3932963: 2020150113,3 - Defensive Resistance,CED - PRONGS-ENTER # CYCLES (use #shots field),-,-,-,-,1,3 - Minor Injury,NO COMPLAINT OF INJURY/PAIN,10/07/2011 12:00:00 AM,6 - 10,8,IDA 800 REG I PATROL,3121068,10097265,7,1,78752,15,TRAVIS COUNTY,Level 3,0,0,1,0,0,0,0
20201501133932963AP8948,2020150113,01/15/2020 12:00:00 AM,0257,7200 EASY WIND DR,Ida,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,3932963: 2020150113,3 - Defensive Resistance,CED - PRONGS MISSED-ENTER # CYCLES (use #shots field),-,-,-,-,1,6 - No Complaint Of Injury/Pain,MINOR INJURY,05/10/2019 12:00:00 AM,1 - 5,1,ACADEMY CADET TRAINING REG II,3121068,10097265,7,1,78752,15,TRAVIS COUNTY,Level 3,0,0,1,0,0,0,0
20201590729262463AP5979,20201590729,06/07/2020 12:00:00 AM,1233,4404 E OLTORF ST,Henry,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,262463: 20201590729,3 - Defensive Resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),-,-,-,-,-,6 - No Complaint Of Injury/Pain,NO COMPLAINT OF INJURY/PAIN,04/27/2007 12:00:00 AM,11 - 15,13,HENRY 200 REG III PATROL,3119889,10055969,3,1,78741,23.14,TRAVIS COUNTY,Level 4,0,0,0,0,0,0,1
20201590729262463AP7049,20201590729,06/07/2020 12:00:00 AM,1307,4404 E OLTORF ST,Henry,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,262463: 20201590729,3 - Defensive Resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),-,-,-,-,0,6 - No Complaint Of Injury/Pain,NO COMPLAINT OF INJURY/PAIN,10/07/2011 12:00:00 AM,6 - 10,9,HENRY 200 REG III PATROL,3119889,10055969,3,1,78741,23.14,TRAVIS COUNTY,Level 4,0,0,0,0,0,0,1
20201590729262463AP7608,20201590729,06/07/2020 12:00:00 AM,1233,4404 E OLTORF ST,Henry,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",4,262463: 20201590729,3 - Defensive Resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),-,-,-,-,-,6 - No Complaint Of Injury/Pain,NO COMPLAINT OF INJURY/PAIN,03/21/2014 12:00:00 AM,6 - 10,6,HENRY 200 REG III PATROL,3119889,10055969,3,1,78741,23.14,TRAVIS COUNTY,Level 4,0,0,0,0,0,0,1
20201590729262463AP8124,20201590729,06/07/2020 12:00:00 AM,1433,4404 E OLTORF ST,Henry,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,262463: 20201590729,2 - Aggressive Resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),-,-,-,-,-,6 - No Complaint Of Injury/Pain,NO COMPLAINT OF INJURY/PAIN,07/08/2016 12:00:00 AM,1 - 5,4,HENRY 200 REG III PATROL,3119889,10055969,3,1,78741,23.14,TRAVIS COUNTY,Level 4,0,0,0,0,0,0,1
