jurisdiction,prisoner_count,state_population,violent_crime_total,murder,rape,robbery,agg_assault,property_crime_total,burglary,vehicle_theft,,fips code,larceny
ALABAMA,23745,4860545,25878,407,1915,4687,18869,143259,34045,11716,,AL,97498
ALASKA,4378,741522,5966,52,1053,850,4011,24876,4053,3057,,AK,17766
ARIZONA,42248,6908642,32542,389,3304,7045,21804,207317,38216,18483,,AZ,150618
ARKANSAS,15833,2988231,16563,217,2214,2125,12007,98092,23814,7187,,AR,67091
CALIFORNIA,129416,39296476,174796,1930,13702,54789,104375,1002070,188304,176756,,CA,637010
COLORADO,19486,5530105,19030,189,3635,3525,11681,152146,23825,19641,,CO,108680
CONNECTICUT,15040,3587685,8169,79,791,2711,4588,64875,10107,7126,,CT,47642
DELAWARE,6334,952698,4859,58,311,1359,3131,26370,5028,1530,,DE,19812
FLORIDA,98010,20656589,88700,1111,7598,20175,59816,553812,100325,43135,,FL,410352
GEORGIA,53433,10313620,40268,682,3381,12114,24091,307305,62715,26463,,GA,218127
HAWAII,5182,1428683,3452,35,601,985,1831,42353,5983,5499,,HI,30871
IDAHO,7221,1680026,3876,49,719,213,2895,29357,6318,2077,,ID,20962
ILLINOIS,43616,12835726,56054,1061,5003,17829,32161,263256,48193,19867,,IL,195196
INDIANA,25143,6634007,26516,431,2449,7291,16345,168460,33567,14439,,IN,120454
IOWA,9049,3130869,9170,73,1278,1150,6669,65888,15306,5002,,IA,45580
KANSAS,9653,2907731,11665,132,1618,1757,8158,82293,14759,7415,,KS,60119
KENTUCKY,11867,4436113,10452,265,1748,3371,5068,97713,20932,9948,,KY,66833
LOUISIANA,15059,4686157,26477,555,1819,5575,18528,154511,34689,10330,,LA,109492
MAINE,2356,1330232,1649,20,413,268,948,21908,4001,776,,ME,17131
MARYLAND,20236,6024752,29019,536,1827,10815,15841,139716,24832,13889,,MD,100995
MASSACHUSETTS,9038,6823721,25975,135,2141,5365,18334,106430,19204,8071,,MA,79155
MICHIGAN,41122,9933445,45782,612,7268,7123,30779,190249,39738,20262,,MI,130249
MINNESOTA,9509,5525050,13365,101,2349,3730,7185,117723,18582,8720,,MN,90421
MISSISSIPPI,13720,2985415,8411,237,1282,2433,4459,82521,23489,4307,,MS,54725
MISSOURI,32427,6091176,31720,538,2557,6576,22049,170661,31716,18296,,MO,120649
MONTANA,3199,1038656,3886,37,598,268,2983,28156,3966,2763,,MT,21427
NEBRASKA,5167,1907603,5661,49,1108,946,3558,43197,6459,4729,,NE,32009
NEVADA,13932,2939254,19924,228,1729,6338,11629,75922,18816,13157,,NV,43949
NEW HAMPSHIRE,2599,1335015,2668,19,609,431,1609,20323,2989,880,,NH,16454
NEW JERSEY,19458,8978416,21861,378,1454,8940,11089,138012,25229,11324,,NJ,101459
NEW MEXICO,6996,2085432,14585,139,1527,2737,10182,81930,17280,11743,,NM,52907
NEW YORK,50611,19836286,74315,629,6281,22310,45095,305224,39850,14384,,NY,250990
NORTH CAROLINA,35970,10156689,37767,678,2847,9336,24906,277765,72082,15306,,NC,190377
NORTH DAKOTA,1639,755548,1905,16,356,181,1352,17451,3248,1954,,ND,12249
OHIO,52172,11622554,35759,683,5754,12574,16748,300945,67081,19762,,OH,214102
OKLAHOMA,26367,3921207,17855,247,2100,3174,12334,118010,29376,12276,,OK,76358
OREGON,14579,4085989,10983,116,1784,2307,6776,121716,16919,13290,,OR,91507
PENNSYLVANIA,48287,12787085,40389,674,4459,12314,22942,222394,35178,13069,,PA,174147
RHODE ISLAND,2887,1057566,2529,29,445,541,1514,18910,3650,1103,,RI,14157
SOUTH CAROLINA,20376,4959822,25137,358,2491,4071,18217,161534,33149,13930,,SC,114455
SOUTH DAKOTA,3770,861542,3636,28,526,274,2808,17207,3002,1500,,SD,12705
TENNESSEE,21539,6649404,42459,495,2803,7829,31332,191199,40607,15239,,TN,135353
TEXAS,151276,27904862,121064,1478,13446,33298,72842,769892,148796,68990,,TX,552106
UTAH,4502,3044321,7406,74,1560,1528,4244,90561,12938,9362,,UT,68261
VERMONT,1735,623354,851,14,170,78,589,9705,1884,184,,VT,7637
VIRGINIA,29882,8414380,18495,482,2830,4826,10357,157292,20159,9848,,VA,127285
WASHINGTON,17228,7280934,22101,195,3133,5649,13124,254994,49249,32322,,WA,173423
WEST VIRGINIA,5899,1828637,6633,85,684,720,5144,37282,9127,2498,,WV,25657
WISCONSIN,23163,5772917,17716,232,2005,4707,10772,111911,19498,9958,,WI,82455
WYOMING,2352,584910,1431,20,206,59,1146,11460,1771,800,,WY,8889
