Crime Type,Incident Report Number
PROSTITUTION,300
,5
ASSIST EMS,202
VOCO AMPLIFIED MUSIC/VEHICLE,340
TERRORISTIC THREAT,1047
BOMB THREAT,32
OUT OF CITY MURDER,6
CRASH/AUTO VS BICYCLE,17
DISTRICT REPRESENTATIVE,5
TELECOMMUNICATION CRIMES/OTHER,5
FORGERY - OTHER,126
SURVEILLANCE ASSIGN,2
CRASH/NO INJURY,322
DRIVING WHILE LICENSE INVALID,1932
VIOL CITY ORDINANCE - DOG,191
BURGLARY NON RESIDENCE,2114
OTHER FIRE,29
DEST OF IMPOUNDED PROP-EVIDEN,1
TRAFFIC VIOL/OTHER,224
CRIMINAL TRESPASS,3306
DEL MARIJUANA,14
SPEC ASSIGN/OTHER,3
UCW LICENSE PREMISE,8
DEL OF DANG DRUG,1
BURGLARY OF RESIDENCE,6305
ACCIDENTAL INJURY,84
ASSIST FIRE DEPT,18
CRED CARD ABUSE BY FORGERY,594
DISRUPTIVE ACTS AT SCHOOLS,1
SEX OFFENDER COMPLIANCE CHECK,21
VIOL CIVIL RIGHTS PRISONER,1
PROBATION VIOL,14
INJURY TO ELDERLY PERSON,14
DATING DISTURBANCE,554
LITTERING,136
IDENTITY THEFT,1275
PUBLIC INTOXICATION,5460
DOC DISPLAY FIREARM-PUB PLACE,51
ROAD RAGE,144
ROBBERY BY ASSAULT,422
THEFT OF AUTO PARTS,315
ACCIDENTAL DEATH,93
AIRPORT - BOMB THREAT,1
FALSE ALARM OR REPORT,84
WEAPON VIOL - OTHER,28
CRIMINAL MISCHIEF BY ARSON,18
AUTO THEFT INFORMATION,320
ACCIDENTAL SHOOTING INJURY,8
COMPELLING PROSTITUTION,2
FORGERY OF IDENTIFICATION,22
FALSE REPORT TO PEACE OFFICER,48
BURGLAR ALARM,30
REQUEST TO LOCATE,245
VIOL OF COURT ORDER-NON EPO-PO,637
PROHIBITED SEXUAL CONDUCT,1
HIGH SPEED ROADWAY HAZ/DEBRIS,97
INJURED ANIMAL-FIREARM USED,7
EVADING / FOOT,140
DELIVER MESSAGE,1
DECEASED PERSON,160
DEL OF ALCOHOL TO MINOR,5
CONTROLLED SUB VIOL - OTHER,1
AGG KIDNAPPING,4
POSS CRIMINAL INSTRUMENT,4
VIOL CITY ORDINANCE -  GAME RM,12
RAPE,227
AIRPORT - SUSPICIOUS PKG/ITEM,5
